document_id,filename,path,file_hash,page_count,category,document_type,domain,jurisdiction,language,year,version,source,has_selectable_text,requires_ocr,ocr_pages
who_benchmarks_practice_ayurveda,01_WHO_Benchmarks_Practice_Ayurveda.pdf,data/raw/01_WHO_Benchmarks_Practice_Ayurveda.pdf,7caaa4fdacf6610e33b2c6201119d17c0e3a8e051fe949737a296dec23aa6e75,100,ayurveda,guidelines,"ayurveda, ayush, traditional_medicine, practice_standards",International,en,2022,1.0,World Health Organization (WHO),True,False,0 pages
gsr_669_e_drugs_rules_2024,02_GSR_669_E_Drugs_Fifth_Amendment_Rules_2024.pdf,data/raw/02_GSR_669_E_Drugs_Fifth_Amendment_Rules_2024.pdf,9e68e6cae0e0eddc3cf03b6818fdbed8bf0805d1c264b3e50dcf343fee5d85fa,11,regulatory,rules_amendment,"ayush, drugs_cosmetics, regulatory, traditional_medicine",India,mul,2024,G.S.R. 669(E),Ministry of Health and Family Welfare / Gazette of India,True,False,0 pages
who_benchmarks_training_ayurveda,02_WHO_Benchmarks_Training_Ayurveda.pdf,data/raw/02_WHO_Benchmarks_Training_Ayurveda.pdf,45b1837895f6a9c91a6758318083faec3102601e25b1b09cd6d2fb843d0b306c,76,ayurveda,guidelines,"ayurveda, ayush, training, traditional_medicine",International,en,2022,1.0,World Health Organization (WHO),True,False,0 pages
fssai_ayurveda_aahara_regulations_2022,62789a20b54bdGazette_Notification_Ayurveda_Aahara_09_05_2022.pdf,data/raw/62789a20b54bdGazette_Notification_Ayurveda_Aahara_09_05_2022.pdf,1ae8cfc632fad0a775316a84999a48adb6cf4b47d05bd4faa75f5190c511f699,27,regulatory,regulations,"ayurveda, food_safety, ayurveda_aahara, regulatory",India,mul,2022,F.No. Stds/SP(Nutraceuticals)/Ayur Aahar-01/2021,Food Safety and Standards Authority of India (FSSAI),True,False,0 pages
ayush_related_inventions_guidelines_2025,AYUSH_Related_Inventions_Guidelines_2025.pdf,data/raw/AYUSH_Related_Inventions_Guidelines_2025.pdf,2bab3cef1b08c07155976c089e05fc4f3f77009d4172423b145fc49da70ca082,20,indian_ip,examination_guidelines,"ayush, ayurveda, patents, traditional_knowledge, patent_examination, section_3p",India,en,2025,2025 Edition,"Office of the Controller General of Patents, Designs and Trade Marks (CGPDTM)",True,False,0 pages
compendium_advertising_claims_regulations_2022,Compendium_Advertising_Claims_Regulations_14_12_2022.pdf,data/raw/Compendium_Advertising_Claims_Regulations_14_12_2022.pdf,4bfe17ba6fe59a3a8ffc7326ad723014b19d69b68cebffdc68717cdfff5cb191,15,regulatory,compendium,"advertising, claims, food_safety, regulatory",India,en,2022,Updated Dec 2022,FSSAI,True,False,0 pages
compendium_licensing_regulations_2021,Compendium_Licensing_Regulations_04_08_2021.pdf,data/raw/Compendium_Licensing_Regulations_04_08_2021.pdf,041ef7e7d3a4b6d11c084182217e0d7d9d73488490b6ff1484a4a41a5d906fd8,101,regulatory,compendium,"licensing, registration, food_safety, regulatory",India,en,2021,Updated Aug 2021,FSSAI,True,False,0 pages
drugs_and_cosmetics_act_1940,Drugs_and_Cosmetics_Act_1940.pdf,data/raw/Drugs_and_Cosmetics_Act_1940.pdf,62bc0d8fd5f9d0c6be90b2fb86f67f8ed5280ac719a038fbf9f26fc8aa5036bf,635,regulatory,act_legislation,"drugs_cosmetics, ayush, ayurveda_siddha_unani, legislation",India,en,1940,As amended,Ministry of Health and Family Welfare / Legislative Department,True,False,0 pages
epo_guidelines_for_examination_2026,EPO_Guidelines_for_Examination_2026.pdf,data/raw/EPO_Guidelines_for_Examination_2026.pdf,9e765d2a40890958e84a9b920b8fa09dcdd3651d0a716f8a50281c41410f5cc5,1092,international_ip,examination_guidelines,"patents, epo, patent_examination, international_ip",EPO,en,2026,April 2026 Edition,European Patent Office (EPO),True,False,0 pages
epo_pct_guidelines_2026,EPO_PCT_Guidelines_2026.pdf,data/raw/EPO_PCT_Guidelines_2026.pdf,1d71781b6b8207d0fc18542f99d073b15bfe49f72c4cf6413317c8587af07726,336,international_ip,examination_guidelines,"patents, pct, epo, international_search_examination",EPO,en,2026,April 2026 Edition,European Patent Office (EPO),True,False,0 pages
guidelines_tk_biological_material_2012,Guidelines_TK_Biological_Material_2012.pdf,data/raw/Guidelines_TK_Biological_Material_2012.pdf,6e4945840b00a79f97d9e5d3d42962e0e30eb343f6b0d6a9bb7f0d5971e4652c,10,indian_ip,examination_guidelines,"traditional_knowledge, biological_resources, patents, patent_examination, section_3p",India,en,2012,2012 Edition,CGPDTM,True,False,0 pages
wipo_ip_gr_tk_tce_overview,IP_GR_TK_TCE_Overview.pdf,data/raw/IP_GR_TK_TCE_Overview.pdf,0480961cf03e1879ee88609a96167a0a453736c532dd46b5c0ee1e39d544bc05,55,international_ip,overview_guide,"genetic_resources, traditional_knowledge, traditional_cultural_expressions, wipo",International,en,2020,2020 Edition,World Intellectual Property Organization (WIPO),True,False,0 pages
order_fssai_ayurveda_aahara_schedules_2025,Order dated 25-07-2025 enclosing Ayurveda Aahara.pdf,data/raw/Order dated 25-07-2025 enclosing Ayurveda Aahara.pdf,498d6f579357e7bb8e8d7b9f7741db5863f6eea8d29ffd559ff9add7d32d7edc,172,regulatory,order_schedule,"ayurveda, ayurveda_aahara, food_safety, recipes_schedules, regulatory",India,mul,2025,Order dated 25-07-2025,FSSAI,True,True,170 pages
pct_applicant_guide_international_phase,PCT_Applicant_Guide_International_Phase.pdf,data/raw/PCT_Applicant_Guide_International_Phase.pdf,455967671b668d1095ebea330db59fa9f2fbb5b4ed05ec8a5686afe17fead8a5,166,international_ip,guide,"patents, pct, wipo, international_phase, patent_procedure",WIPO/PCT,en,2026,April 2026 Edition,WIPO,True,False,0 pages
patent_act_1970,Patent Act-1970.pdf,data/raw/Patent Act-1970.pdf,bd585b402db59cd1d386a8db79b415d04b771dc027406e9356bb087ae09e68f7,69,indian_ip,act_legislation,"patents, patent_law, indian_ip, legislation, patentability",India,en,1970,As amended by Act 15 of 2005,"Legislative Department, Ministry of Law and Justice, Government of India",True,False,0 pages
biological_diversity_act_2002,"The Biological Diversity Act,2002.pdf","data/raw/The Biological Diversity Act,2002.pdf",341646b54ec22f0ff04878abc00d8e0fcd9209e4236618ab6a3a16356e88dc9b,25,indian_ip,act_legislation,"biological_resources, biodiversity, traditional_knowledge, nba_approvals, legislation",India,en,2002,Act No. 18 of 2003,"Legislative Department, Ministry of Law and Justice, Government of India",True,False,0 pages
copyright_act_1957,"The Copyright Act,1957.pdf","data/raw/The Copyright Act,1957.pdf",05f47cc9ca63dfee32153beb07b12241298c92f6cadf3caed805887a3f843c4a,45,indian_ip,act_legislation,"copyright, authors_rights, indian_ip, legislation",India,en,1957,As amended by Act 27 of 2012,"Legislative Department, Ministry of Law and Justice, Government of India",True,False,0 pages
designs_act_2000,"The Designs Act,2000.pdf","data/raw/The Designs Act,2000.pdf",27133a2bcf1122293c3f231f9c48b852bdffb4b2bb0a05f6c508a1bef5ff9ea3,15,indian_ip,act_legislation,"design, industrial_designs, indian_ip, legislation",India,en,2000,Act No. 16 of 2000,"Legislative Department, Ministry of Law and Justice, Government of India",True,False,0 pages
trade_marks_act_1999,The Trade Marks Act 1999.pdf,data/raw/The Trade Marks Act 1999.pdf,e12835963e0aa1091202a459009cd90160e4504abb398bdcc54671541cd4071f,53,indian_ip,act_legislation,"trademark, trademark_law, indian_ip, legislation",India,en,1999,Act No. 47 of 1999,"Legislative Department, Ministry of Law and Justice, Government of India",True,False,0 pages
wipo_documenting_tk_toolkit,WIPO_Documenting_Traditional_Knowledge_Toolkit.pdf,data/raw/WIPO_Documenting_Traditional_Knowledge_Toolkit.pdf,5893ca4a3de2013534bc5cc3fe264c60284bf58759800a2757488ebb10807cf6,40,international_ip,toolkit,"traditional_knowledge, documentation, intellectual_property, wipo",International,en,2017,2017 Edition,WIPO,True,False,0 pages
wipo_gr_tk_treaty_2024,WIPO_GR_TK_Treaty_2024.pdf,data/raw/WIPO_GR_TK_Treaty_2024.pdf,1b898fd1a1655cd34a91060cbfa948d354eb99c0cee4a9ca83357b337c1e0f38,10,international_ip,treaty_international_instrument,"genetic_resources, traditional_knowledge, mandatory_disclosure, treaty, wipo",International,en,2024,GRATK/DC/7,WIPO Diplomatic Conference,True,False,0 pages
wipo_patent_disclosure_gr_tk,WIPO_Patent_Disclosure_GR_TK.pdf,data/raw/WIPO_Patent_Disclosure_GR_TK.pdf,23acdcd6c83d8f77fb84aaa83705ccec73da2eee7c6e47dfaf880d09b161d538,95,international_ip,study_guide,"patents, patent_disclosure, genetic_resources, traditional_knowledge, wipo",International,en,2020,Second edition 2020,WIPO,True,False,0 pages
